i, nomer otkazavshih elementov i-ogo typa, veraiatnosth, lambda (i -> i+1), mu (i+1 -> i)
1, 0, 0.9705901479, 0.03, 1
1, 1, 0.02911770444, 0.02, 2
1, 2, 0.0002911770444, 0.01, 3
1, 3, 9.705901479e-07, 0, 0
2, 0, 0.7077308705, 0.25, 0.6997954967
2, 1, 0.2528348903, 0.2, 1.3792086
2, 2, 0.03666376359, 0.15, 2.058621704
2, 3, 0.002671478945, 0.1, 2.738034807
2, 4, 9.756921053e-05, 0.05, 3.417447911
2, 5, 1.427515694e-06, 0, 0
3, 0, 0.8324947315, 0.27, 1.440848641
3, 1, 0.1560008256, 0.18, 2.502444947
3, 2, 0.01122108546, 0.09, 3.564041252
3, 3, 0.0002833574641, 0, 0
